system   D            wsystem.c:583  maybe_parent_dir                 [   0.02260] Also searching C:\Users\Konrad\Documents\KCK\Github\KCK__sroda_10_gr3\KCK\
display  D   display_settings.c:377  _al_score_display_settings       [   0.07645] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07647] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07650] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07652] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07655] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07657] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07660] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07662] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07665] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07667] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07670] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07672] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07674] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07676] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07679] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07681] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07684] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07686] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07688] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07690] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07698] Single Buffer requirement not met.
